<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE,D,20201012,000000,65,72.1,60,70,59867551,0
ALE,D,20201013,000000,72,80,71.08,80,18452974,0
ALE,D,20201014,000000,84,90.3,71.25,75.96,16731591,0
ALE,D,20201015,000000,76,80,71.52,79.22,6235974,0
ALE,D,20201016,000000,80,85.44,79.25,81.45,15480831,0
ALE,D,20201019,000000,81.45,83.62,79.8,83.4,3205087,0
ALE,D,20201020,000000,83.45,85.6,83.33,85,3048042,0
ALE,D,20201021,000000,85.99,85.99,82.12,84.17,2734889,0
ALE,D,20201022,000000,83.84,89,83.72,85.37,5133134,0
ALE,D,20201023,000000,86.37,89,85.43,89,30874654,0
ALE,D,20201026,000000,89,92.86,85.5,91.7,2752483,0
ALE,D,20201027,000000,91.6,98.78,90.4,94.64,3996495,0
ALE,D,20201028,000000,94.64,96.55,82.1,87.67,4158058,0
ALE,D,20201029,000000,88,90.37,84.63,85.94,1854893,0
ALE,D,20201030,000000,85,86.8,80,80.45,1850831,0
ALE,D,20201102,000000,81.2,85.44,81.18,84.17,2942285,0
ALE,D,20201103,000000,85.4,85.5,82.12,83.69,1908419,0
ALE,D,20201104,000000,83,87.2,82.5,86.59,2026196,0
ALE,D,20201105,000000,88.3,89.6,86.7,87.56,1296652,0
ALE,D,20201106,000000,88,93,87.87,92.13,2860026,0
ALE,D,20201109,000000,94,95.3,84.6,90.61,4577919,0
ALE,D,20201110,000000,89,89,82.62,82.75,4475543,0
ALE,D,20201112,000000,84.41,84.6,79.45,79.5,4993858,0
ALE,D,20201113,000000,79.95,80.36,74.7,75.88,3626856,0
ALE,D,20201116,000000,76.05,76.48,72.11,72.39,2730979,0
ALE,D,20201117,000000,71.2,71.44,67.4,67.89,4080037,0
ALE,D,20201118,000000,67.8,69.99,65.3,67.3,3151660,0
ALE,D,20201119,000000,67.67,71.9,67.45,71.9,2647711,0
ALE,D,20201120,000000,73.29,79.45,72.74,78.32,3325301,0
ALE,D,20201123,000000,79.6,81.62,75,76.6,2947478,0
ALE,D,20201124,000000,76.6,79.2,73.46,78.27,2364059,0
ALE,D,20201125,000000,75.5,79.34,75.02,79.34,2028319,0
ALE,D,20201126,000000,77,77.32,74,74.2,1938984,0
ALE,D,20201127,000000,72.68,76,70.7,75,1889733,0
ALE,D,20201130,000000,75,77.6,74.32,77.07,3324698,0
ALE,D,20201201,000000,78.5,78.5,75.01,75.01,1038188,0
ALE,D,20201202,000000,74.2,75.87,74,75.2,1106902,0
ALE,D,20201203,000000,75.6,76.4,74.8,74.8,1437814,0
ALE,D,20201204,000000,74.8,75.86,74.6,75.5,2174870,0
ALE,D,20201207,000000,75.5,75.5,72.6,74.45,2401460,0
ALE,D,20201208,000000,75,78.26,73.91,78.26,1242364,0
ALE,D,20201209,000000,78.2,78.35,75.5,75.57,1295897,0
ALE,D,20201210,000000,76.04,78.96,75.86,78.7,1165328,0
ALE,D,20201211,000000,78.65,79.8,77.3,79.8,1352568,0
ALE,D,20201214,000000,80,84.7,79.31,83.65,1868710,0
ALE,D,20201215,000000,83.65,86.4,83.01,84.92,1833526,0
ALE,D,20201216,000000,85.5,88.59,84.2,85,1336367,0
ALE,D,20201217,000000,86,87.78,85.53,85.95,1289064,0
ALE,D,20201218,000000,87,88,84.49,86.1,8813180,0
ALE,D,20201221,000000,86.5,86.99,79.05,81.05,1457366,0
ALE,D,20201222,000000,81.1,85.65,81.1,83.04,915077,0
ALE,D,20201223,000000,83.67,85.88,83.21,85.69,583655,0
ALE,D,20201228,000000,85.99,86.76,84.49,86.55,590450,0
ALE,D,20201229,000000,87.1,87.35,85.02,85.96,511731,0
ALE,D,20201230,000000,85.32,85.9,84.56,84.7,775111,0
ALE,D,20210104,000000,84,85.84,83.4,84.4,1189833,0
ALE,D,20210105,000000,84,87.29,83.8,85.99,1270249,0
ALE,D,20210107,000000,86.85,87.5,82.8,82.93,1411442,0
ALE,D,20210108,000000,83.16,83.89,78.35,80.59,1599933,0
ALE,D,20210111,000000,81.75,82.84,79.1,80.5,895247,0
ALE,D,20210112,000000,81.3,82.3,79.34,80,662230,0
ALE,D,20210113,000000,80.4,80.65,77.5,78.4,1008032,0
ALE,D,20210114,000000,78,78.99,77.8,78.48,769410,0
ALE,D,20210115,000000,79,79.5,75.15,76.75,1172286,0
ALE,D,20210118,000000,76.9,77.89,75.65,77.79,432646,0
ALE,D,20210119,000000,77.84,77.97,74.4,75,1327618,0
ALE,D,20210120,000000,75,75.29,72.1,73.65,1263333,0
ALE,D,20210121,000000,73.71,75.55,72.78,73.13,1142721,0
ALE,D,20210122,000000,73.85,73.85,72.33,72.7,1903288,0
ALE,D,20210125,000000,72.3,73.32,70.4,70.65,1300410,0
ALE,D,20210126,000000,70.7,75.86,70,74.98,3897708,0
ALE,D,20210127,000000,75.99,77.48,69.04,70.54,5390632,0
ALE,D,20210128,000000,70.54,71.94,67.35,71.63,2037106,0
ALE,D,20210129,000000,71.63,74,70.46,73.5,2239290,0
ALE,D,20210201,000000,73.8,73.95,69.75,72,1972848,0
ALE,D,20210202,000000,72.36,72.66,71.66,72.03,850283,0
ALE,D,20210203,000000,72.09,72.45,70.44,71.11,1681277,0
ALE,D,20210204,000000,71,71.48,69.25,69.7,654911,0
ALE,D,20210205,000000,69.75,71.11,69.58,70.31,586445,0
